STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-03,0,38,46,35
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-04,0,40,48,31
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-05,0,36,47,30
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-06,0.23,38,48,29
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-07,1.28,35,36,32
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-08,0,36,40,31
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-09,0,35,42,30
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-10,0,36,44,29
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-11,0,36,46,28
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-12,0.06,36,43,29
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-13,0.03,36,42,32
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-14,0,35,41,29
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-15,0,37,46,32
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-16,0,37,42,31
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-17,0,37,48,28
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-18,0,40,50,31
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-19,0,42,52,33
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-20,0.4,34,35,29
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-21,1.06,33,36,31
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-22,0,37,48,33
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-23,0,41,48,35
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-24,0,41,49,33
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-25,0,39,47,32
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-26,0,39,49,30
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-27,0,38,47,31
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-28,0.02,43,50,38
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-29,0.08,54,74,46
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-30,0.16,60,70,44
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-03-31,0,47,57,38
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-01,0,51,62,44
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-02,0.12,43,49,34
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-03,0.08,41,47,37
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-04,0.06,50,67,39
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-05,0,41,47,36
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-06,0.03,47,64,39
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-07,0,48,58,39
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-08,0,40,46,31
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-09,0,38,45,32
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-10,0,42,50,35
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-11,0,44,53,29
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-12,0,53,71,42
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-13,0,68,84,59
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-14,0,72,83,48
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-15,0.56,47,49,40
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-16,2.28,50,66,41
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-17,0,44,46,38
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-18,0,44,56,36
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-19,0,49,51,41
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-20,0,44,54,36
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-21,0,48,60,36
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-22,0,54,66,40
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-23,0,56,70,43
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-24,0.11,54,64,41
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-25,0.16,58,68,53
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-26,0,60,67,51
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-27,0.25,57,59,50
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-28,0.14,58,74,46
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-29,0.15,52,56,45
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-04-30,0,52,68,44
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-01,0,60,79,43
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-02,0,72,88,55
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-03,0,77,91,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-04,0,77,89,65
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-05,0,71,75,61
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-06,0,64,70,58
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-07,0,63,75,55
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-08,0,64,77,51
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-09,0,65,79,52
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-10,0,63,80,49
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-11,0,70,77,59
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-12,1.49,63,72,53
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-13,0.49,56,57,53
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-14,0,59,75,53
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-15,0.55,73,89,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-16,0.25,65,68,58
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-17,0.36,61,68,57
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-18,0.02,63,65,51
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-19,0.74,55,69,50
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-20,0.01,73,84,68
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-21,0,71,79,61
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-22,0.35,63,66,59
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-23,0,69,80,61
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-24,0,73,84,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-25,0,73,86,61
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-26,0.85,78,89,69
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-27,0.08,71,77,58
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-28,0,61,71,57
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-29,0,70,82,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-30,0,72,81,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-05-31,0.02,69,82,62
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-01,0.06,76,85,70
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-02,0.25,78,87,71
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-03,0.61,65,71,53
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-04,0.24,60,74,52
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-05,0,69,80,57
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-06,0,66,72,59
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-07,0,67,76,60
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-08,0,70,82,59
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-09,0.01,74,85,66
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-10,0.77,69,73,56
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-11,0.69,61,70,55
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-12,0,64,76,53
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-13,0,71,81,65
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-14,0,78,86,70
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-15,0,73,80,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-16,0,73,84,59
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-17,0,78,90,65
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-18,0,80,93,69
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-19,0,83,88,74
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-20,0.29,78,86,69
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-21,0,75,82,70
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-22,0.16,71,73,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-23,0.01,66,73,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-24,0,76,89,68
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-25,0,75,82,67
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-26,0,72,81,61
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-27,0,69,74,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-28,0.25,78,88,72
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-29,0,82,91,73
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-06-30,0,84,95,71
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-01,0,86,95,76
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-02,0,86,97,73
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-03,0.01,85,98,75
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-04,0,81,94,74
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-05,0,83,94,76
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-06,0.1,80,85,70
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-07,0,73,79,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-08,0,72,85,60
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-09,0,75,87,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-10,0,80,93,68
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-11,0,84,90,74
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-12,0.15,78,88,70
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-13,0,76,88,68
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-14,0,78,90,67
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-15,0.38,77,83,70
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-16,0,82,95,73
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-17,0.07,82,94,74
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-18,0,77,87,70
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-19,0,76,86,64
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-20,0,76,87,65
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-21,0.74,70,77,65
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-22,0.24,74,87,69
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-23,0,80,86,77
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-24,0.08,80,87,76
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-25,1.14,77,83,72
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-26,0,77,87,71
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-27,0.15,80,90,71
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-28,0,76,87,70
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-29,0,77,85,69
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-30,0,75,78,67
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-07-31,0,74,82,68
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-01,0.41,79,89,73
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-02,0.08,81,89,74
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-03,0.51,77,86,72
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-04,0.1,78,87,72
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-05,0,82,92,73
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-06,0,83,92,75
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-07,0.05,82,92,75
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-08,0.02,81,92,73
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-09,0.04,81,89,74
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-10,0,82,91,72
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-11,0.79,78,85,70
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-12,0,76,86,71
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-13,0.52,77,84,71
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-14,0.73,74,83,68
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-15,0,79,89,72
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-16,0,81,89,73
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-17,0,82,93,74
