X,Y,OBJECTID,RECORDNUM,SETDATE,SETYEAR,COMMENTS,MCD,ROUTE,ROAD,CNTDIR,FROMLMT,TOLMT,TYPE,LATITUDE,LONGITUDE,FACTOR,AXLE,OUTDIR,INDIR,AADB,UPDATED,CO_NAME,MUN_NAME,GLOBALID,PROGRAM,BIKEPEDGRO,BIKEPEDFAC
-74.654804633392914,40.354367163371698,50795,141989,2018-05-12T00:00:00.000Z,2018,,3402160900,0,hamilton ave eastbound lanes,both,moore st,walnut la,Bicycle 2,40.354359,-74.654803,0,0,S,N,53,2018-06-29T02:36:28.000Z,Mercer,Princeton,ec1d8cf9-e9e8-48d8-896c-c92dbb968ace,,Low Volume,
-75.165774771493261,39.953798065259647,50797,140309,2018-03-13T00:00:00.000Z,2018,,4210160103,3,j f kennedy blvd north side,west,16th st,15th st,Bicycle 2,39.95379,-75.165773,0,1.02,E,W,362,2018-06-29T02:36:28.000Z,Philadelphia,Central,f2f13a9f-c060-45fe-a3b8-2c90baf8b767,Project,Mixed,Mixed Traffic
-75.197147221009786,39.946316012611668,50800,139036,2018-04-19T00:00:00.000Z,2018,,4210160110,0,civic center blvd southbound lanes,south,university ave,health sciences dr,Bicycle 2,39.94630795,-75.19714544,0,1.02,N,S,36,2018-06-29T02:36:28.000Z,Philadelphia,University - Southwest,9c1d6ce0-7d58-4ed0-8dc7-4f4b17e0f19e,Project,Mixed,Bike Lane
-75.131589431877316,39.977181440981411,50842,142012,2018-05-24T00:00:00.000Z,2018,Cyclical Program Year 3,4210160109,0,frankford ave southbound lanes,south,montgomery ave,berks st,Bicycle 2,39.97717337,-75.13158767,0,1.02,N,S,264,2018-07-12T02:36:35.000Z,Philadelphia,River Wards,bb05704a-a02f-4f6e-8514-84a7a74b1bd8,Cyclical,Mixed,Mixed Traffic
-75.131589431877316,39.977181440981411,50843,142011,2018-05-24T00:00:00.000Z,2018,Cyclical Program Year 3,4210160109,0,frankford ave northbound lanes,north,montgomery ave,berks st,Bicycle 2,39.97717337,-75.13158767,0,1.02,S,N,256,2018-07-12T02:36:35.000Z,Philadelphia,River Wards,9055430a-0c1c-406e-b7bd-b1daac306644,Cyclical,Mixed,Mixed Traffic
-75.139865475989296,39.992100914244354,50844,142007,2018-05-16T00:00:00.000Z,2018,Cyclical Program Year 3,4210160107,0,lehigh ave westbound lanes,west,5th st,orkney st,Bicycle 2,39.99209284,-75.13986371,0,1.02,E,W,125,2018-07-12T02:36:35.000Z,Philadelphia,Lower North,9a5e4f35-a48f-47b3-9f5f-6a491cc0d351,Cyclical,Low Volume,Bike Lane
-75.165443022328475,39.963009107618404,50845,142003,2018-05-15T00:00:00.000Z,2018,Cyclical Program Year 3,4210160103,0,spring garden st westbound lanes,west,18th st,17th st,Bicycle 2,39.96300104,-75.16544125,0,1.02,E,W,302,2018-07-12T02:36:35.000Z,Philadelphia,Central,ebdc5072-be50-46f5-9b2d-2e6fc290fcb0,Cyclical,Mixed,Bike Lane
-75.165495872304788,39.962913406977208,50846,142002,2018-05-15T00:00:00.000Z,2018,Cyclical Program Year 3,4210160103,0,spring garden st eastbound lanes,east,18th st,17th st,Bicycle 2,39.96290534,-75.1654941,0,1.02,W,E,321,2018-07-12T02:36:35.000Z,Philadelphia,Central,69a5d870-9451-4715-8d85-f0e68de789b1,Cyclical,Mixed,Bike Lane
-75.151070596952039,39.945274804338027,50847,141994,2018-05-22T00:00:00.000Z,2018,Cyclical Program Year 3,4210160103,0,spruce st westbound lanes,west,19th st,18th st,Bicycle 2,39.94526674,-75.15106883,0,1.02,E,W,1230,2018-07-12T02:36:35.000Z,Philadelphia,Central,3582fe9c-879d-4777-a4e1-176f1b3a58c7,Cyclical,Mixed,Bike Lane
-75.150946547109143,39.961533637356858,50848,142005,2018-05-23T00:00:00.000Z,2018,Cyclical Program Year 3,4210160103,0,spring garden st westbound lanes,west,8th st,7th st,Bicycle 2,39.96152557,-75.15094478,0,1.02,E,W,734,2018-07-12T02:36:35.000Z,Philadelphia,Central,d4886a4e-8605-41bb-8b58-d3d207119d39,Cyclical,Mixed,Bike Lane
